Employee_ID,Work_Schedule_ID,Day_Name,Other_Details


,
,,
,,,
Test,,,
Test,Test,,
Test,Test,Test,
Test,Test,Test,Test
Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup
EM0035,WW0103,Tuesday,Tuesday,Detail
EM0035,WW0104,Sunday,Saturday,Detail
EM0035,WW0105,Friday,Monday,Detail
EM0036,WW0106,Monday,Sunday,Detail
EM0036,WW0107,Monday,Tuesday,Detail
EM0036,WW0108,Saturday,Sunday,Detail
EM0037,WW0109,Monday,Saturday,Detail
EM0037,WW0110,Sunday,Sunday,Detail
EM0037,WW0111,Tuesday,Thursday,Detail
EM0038,WW0112,Saturday,Monday,Detail
EM0038,WW0113,Monday,Thursday,Detail
EM0038,WW0114,Thursday,Saturday,Detail
EM0039,WW0115,Sunday,Monday,Detail
EM0039,WW0116,Friday,Monday,Detail
EM0039,WW0117,Friday,Friday,Detail
EM0040,WW0118,Wednesday,Saturday,Detail
EM0040,WW0119,Wednesday,Tuesday,Detail
EM0040,WW0120,Wednesday,Friday,Detail
EM0041,WW0121,Monday,Sunday,Detail
EM0041,WW0122,Friday,Friday,Detail
EM0041,WW0123,Friday,Wednesday,Detail
EM0042,WW0124,Tuesday,Wednesday,Detail
EM0042,WW0125,Wednesday,Monday,Detail
EM0042,WW0126,Wednesday,Sunday,Detail
EM0043,WW0127,Wednesday,Sunday,Detail
EM0043,WW0128,Thursday,Saturday,Detail
EM0043,WW0129,Wednesday,Wednesday,Detail
EM0044,WW0130,Sunday,Wednesday,Detail
EM0044,WW0131,Friday,Saturday,Detail
EM0044,WW0132,Saturday,Tuesday,Detail
EM0045,WW0133,Tuesday,Saturday,Detail
EM0045,WW0134,Wednesday,Thursday,Detail
EM0045,WW0135,Monday,Tuesday,Detail
EM0046,WW0136,Thursday,Thursday,Detail
EM0046,WW0137,Thursday,Tuesday,Detail
EM0046,WW0138,Monday,Thursday,Detail
EM0047,WW0139,Wednesday,Monday,Detail
EM0047,WW0140,Wednesday,Tuesday,Detail
EM0047,WW0141,Saturday,Sunday,Detail
EM0048,WW0142,Tuesday,Saturday,Detail
EM0048,WW0143,Friday,Sunday,Detail
EM0048,WW0144,Saturday,Monday,Detail
EM0049,WW0145,Monday,Sunday,Detail
EM0049,WW0146,Saturday,Wednesday,Detail
EM0049,WW0147,Thursday,Sunday,Detail
EM0050,WW0148,Friday,Tuesday,Detail
EM0050,WW0149,Sunday,Tuesday,Detail
EM0050,WW0150,Friday,Monday,Detail
EM0051,WW0151,Sunday,Tuesday,Detail
EM0051,WW0152,Tuesday,Sunday,Detail
EM0051,WW0153,Sunday,Wednesday,Detail
EM0052,WW0154,Friday,Monday,Detail
EM0052,WW0155,Thursday,Thursday,Detail
EM0052,WW0156,Thursday,Wednesday,Detail
EM0053,WW0157,Friday,Friday,Detail
EM0053,WW0158,Monday,Thursday,Detail
EM0053,WW0159,Wednesday,Friday,Detail
EM0054,WW0160,Wednesday,Wednesday,Detail
EM0054,WW0161,Tuesday,Wednesday,Detail
EM0054,WW0162,Monday,Wednesday,Detail
EM0055,WW0163,Sunday,Tuesday,Detail
EM0055,WW0164,Thursday,Thursday,Detail
EM0055,WW0165,Friday,Friday,Detail
EM0056,WW0166,Friday,Friday,Detail
EM0056,WW0167,Sunday,Friday,Detail
EM0056,WW0168,Monday,Tuesday,Detail
EM0057,WW0169,Wednesday,Friday,Detail
EM0057,WW0170,Wednesday,Friday,Detail
EM0057,WW0171,Sunday,Friday,Detail
EM0058,WW0172,Wednesday,Thursday,Detail
EM0058,WW0173,Saturday,Thursday,Detail
EM0058,WW0174,Monday,Wednesday,Detail
EM0059,WW0175,Wednesday,Monday,Detail
EM0059,WW0176,Saturday,Saturday,Detail
EM0059,WW0177,Friday,Thursday,Detail
EM0060,WW0178,Thursday,Wednesday,Detail
EM0060,WW0179,Monday,Wednesday,Detail
EM0060,WW0180,Saturday,Tuesday,Detail
EM0061,WW0181,Friday,Wednesday,Detail
EM0061,WW0182,Thursday,Saturday,Detail
EM0061,WW0183,Friday,Monday,Detail
EM0062,WW0184,Thursday,Tuesday,Detail
EM0062,WW0185,Wednesday,Friday,Detail
EM0062,WW0186,Friday,Thursday,Detail
EM0063,WW0187,Tuesday,Sunday,Detail
EM0063,WW0188,Friday,Wednesday,Detail
EM0063,WW0189,Saturday,Monday,Detail
EM0064,WW0190,Tuesday,Tuesday,Detail
EM0064,WW0191,Sunday,Wednesday,Detail
EM0064,WW0192,Thursday,Wednesday,Detail
EM0065,WW0193,Thursday,Sunday,Detail
EM0065,WW0194,Friday,Wednesday,Detail
EM0065,WW0195,Friday,Sunday,Detail
EM0066,WW0196,Wednesday,Saturday,Detail
EM0066,WW0197,Friday,Tuesday,Detail
EM0066,WW0198,Wednesday,Tuesday,Detail
EM0067,WW0199,Monday,Thursday,Detail
EM0067,WW0200,Sunday,Monday,Detail
EM0067,WW0201,Friday,Monday,Detail
EM0068,WW0202,Thursday,Saturday,Detail
EM0068,WW0203,Sunday,Thursday,Detail
EM0068,WW0204,Sunday,Friday,Detail
EM0069,WW0205,Thursday,Saturday,Detail
EM0069,WW0206,Thursday,Sunday,Detail
EM0069,WW0207,Tuesday,Saturday,Detail
EM0070,WW0208,Thursday,Wednesday,Detail
EM0070,WW0209,Thursday,Wednesday,Detail
EM0070,WW0210,Sunday,Wednesday,Detail
EM0071,WW0211,Sunday,Friday,Detail
EM0071,WW0212,Sunday,Wednesday,Detail
EM0071,WW0213,Sunday,Friday,Detail
EM0072,WW0214,Thursday,Tuesday,Detail
EM0072,WW0215,Monday,Sunday,Detail
EM0072,WW0216,Wednesday,Thursday,Detail
EM0073,WW0217,Friday,Tuesday,Detail
EM0073,WW0218,Wednesday,Saturday,Detail
EM0073,WW0219,Friday,Friday,Detail
EM0074,WW0220,Saturday,Monday,Detail
EM0074,WW0221,Thursday,Friday,Detail
EM0074,WW0222,Friday,Saturday,Detail
EM0075,WW0223,Thursday,Saturday,Detail
EM0075,WW0224,Thursday,Friday,Detail
EM0075,WW0225,Tuesday,Friday,Detail
EM0076,WW0226,Monday,Friday,Detail
EM0076,WW0227,Monday,Thursday,Detail
EM0076,WW0228,Friday,Wednesday,Detail
EM0077,WW0229,Monday,Wednesday,Detail
EM0077,WW0230,Friday,Monday,Detail
EM0077,WW0231,Wednesday,Sunday,Detail
EM0078,WW0232,Thursday,Wednesday,Detail
EM0078,WW0233,Friday,Monday,Detail
EM0078,WW0234,Tuesday,Tuesday,Detail
EM0079,WW0235,Thursday,Tuesday,Detail
EM0079,WW0236,Saturday,Sunday,Detail
EM0079,WW0237,Saturday,Thursday,Detail
EM0080,WW0238,Wednesday,Tuesday,Detail
EM0080,WW0239,Tuesday,Wednesday,Detail
EM0080,WW0240,Tuesday,Wednesday,Detail
EM0081,WW0241,Monday,Tuesday,Detail
EM0081,WW0242,Thursday,Wednesday,Detail
EM0081,WW0243,Thursday,Monday,Detail
EM0082,WW0244,Wednesday,Wednesday,Detail
EM0082,WW0245,Sunday,Thursday,Detail
EM0082,WW0246,Thursday,Sunday,Detail
EM0083,WW0247,Sunday,Wednesday,Detail
EM0083,WW0248,Monday,Wednesday,Detail
EM0083,WW0249,Sunday,Friday,Detail
EM0084,WW0250,Friday,Sunday,Detail
EM0084,WW0251,Monday,Tuesday,Detail
EM0084,WW0252,Thursday,Monday,Detail
EM0085,WW0253,Saturday,Monday,Detail
EM0085,WW0254,Thursday,Monday,Detail
EM0085,WW0255,Thursday,Saturday,Detail
EM0086,WW0256,Friday,Tuesday,Detail
EM0086,WW0257,Thursday,Sunday,Detail
EM0086,WW0258,Wednesday,Wednesday,Detail
EM0087,WW0259,Friday,Saturday,Detail
EM0087,WW0260,Thursday,Sunday,Detail
EM0087,WW0261,Saturday,Thursday,Detail
EM0088,WW0262,Wednesday,Thursday,Detail
EM0088,WW0263,Friday,Monday,Detail
EM0088,WW0264,Tuesday,Friday,Detail
EM0089,WW0265,Wednesday,Monday,Detail
EM0089,WW0266,Tuesday,Friday,Detail
EM0089,WW0267,Saturday,Thursday,Detail
EM0090,WW0268,Friday,Saturday,Detail
EM0090,WW0269,Sunday,Tuesday,Detail
EM0090,WW0270,Thursday,Thursday,Detail
EM0091,WW0271,Wednesday,Friday,Detail
EM0091,WW0272,Sunday,Thursday,Detail
EM0091,WW0273,Sunday,Saturday,Detail
EM0092,WW0274,Sunday,Tuesday,Detail
EM0092,WW0275,Thursday,Friday,Detail
EM0092,WW0276,Tuesday,Thursday,Detail
EM0093,WW0277,Tuesday,Monday,Detail
EM0093,WW0278,Wednesday,Tuesday,Detail
EM0093,WW0279,Monday,Sunday,Detail
EM0094,WW0280,Saturday,Saturday,Detail
EM0094,WW0281,Tuesday,Sunday,Detail
EM0094,WW0282,Sunday,Saturday,Detail
EM0095,WW0283,Monday,Friday,Detail
EM0095,WW0284,Tuesday,Sunday,Detail
EM0095,WW0285,Thursday,Thursday,Detail
EM0096,WW0286,Thursday,Monday,Detail
EM0096,WW0287,Sunday,Tuesday,Detail
EM0096,WW0288,Thursday,Tuesday,Detail
EM0097,WW0289,Friday,Sunday,Detail
EM0097,WW0290,Wednesday,Wednesday,Detail
EM0097,WW0291,Saturday,Wednesday,Detail
EM0098,WW0292,Monday,Sunday,Detail
EM0098,WW0293,Friday,Tuesday,Detail
EM0098,WW0294,Monday,Wednesday,Detail
EM0099,WW0295,Saturday,Wednesday,Detail
EM0099,WW0296,Saturday,Tuesday,Detail
EM0099,WW0297,Wednesday,Friday,Detail
EM0100,WW0298,Saturday,Saturday,Detail
EM0100,WW0299,Thursday,Thursday,Detail
EM0100,WW0300,Saturday,Saturday,Detail
EM0101,WW0301,Monday,Friday,Detail
EM0101,WW0302,Tuesday,Sunday,Detail
EM0101,WW0303,Saturday,Wednesday,Detail
EM0102,WW0304,Tuesday,Tuesday,Detail
EM0102,WW0305,Wednesday,Thursday,Detail
EM0102,WW0306,Thursday,Thursday,Detail
EM0103,WW0307,Wednesday,Thursday,Detail
EM0103,WW0308,Monday,Tuesday,Detail
EM0103,WW0309,Sunday,Monday,Detail
EM0104,WW0310,Tuesday,Friday,Detail
EM0104,WW0311,Sunday,Monday,Detail
EM0104,WW0312,Friday,Friday,Detail
EM0105,WW0313,Friday,Sunday,Detail
EM0105,WW0314,Saturday,Thursday,Detail
EM0105,WW0315,Wednesday,Wednesday,Detail
EM0106,WW0316,Thursday,Friday,Detail
EM0106,WW0317,Friday,Saturday,Detail
EM0106,WW0318,Tuesday,Friday,Detail
EM0107,WW0319,Wednesday,Tuesday,Detail
EM0107,WW0320,Thursday,Wednesday,Detail
EM0107,WW0321,Friday,Wednesday,Detail
EM0108,WW0322,Wednesday,Monday,Detail
EM0108,WW0323,Sunday,Saturday,Detail
EM0108,WW0324,Monday,Thursday,Detail
EM0109,WW0325,Sunday,Thursday,Detail
EM0109,WW0326,Wednesday,Friday,Detail
EM0109,WW0327,Wednesday,Tuesday,Detail
EM0110,WW0328,Monday,Sunday,Detail
EM0110,WW0329,Friday,Wednesday,Detail
EM0110,WW0330,Sunday,Monday,Detail
EM0111,WW0331,Sunday,Monday,Detail
EM0111,WW0332,Wednesday,Wednesday,Detail
EM0111,WW0333,Sunday,Monday,Detail
EM0112,WW0334,Thursday,Thursday,Detail
EM0112,WW0335,Friday,Tuesday,Detail
EM0112,WW0336,Monday,Friday,Detail
EM0113,WW0337,Saturday,Tuesday,Detail
EM0113,WW0338,Tuesday,Tuesday,Detail
EM0113,WW0339,Tuesday,Saturday,Detail
EM0114,WW0340,Sunday,Friday,Detail
EM0114,WW0341,Saturday,Tuesday,Detail
EM0114,WW0342,Tuesday,Saturday,Detail
EM0115,WW0343,Saturday,Thursday,Detail
EM0115,WW0344,Friday,Tuesday,Detail
EM0115,WW0345,Friday,Saturday,Detail
EM0116,WW0346,Monday,Sunday,Detail
EM0116,WW0347,Tuesday,Thursday,Detail
EM0116,WW0348,Saturday,Thursday,Detail
EM0117,WW0349,Monday,Monday,Detail
EM0117,WW0350,Wednesday,Monday,Detail
EM0117,WW0351,Thursday,Sunday,Detail
EM0118,WW0352,Thursday,Tuesday,Detail
EM0118,WW0353,Wednesday,Sunday,Detail
EM0118,WW0354,Thursday,Sunday,Detail
EM0119,WW0355,Wednesday,Friday,Detail
EM0119,WW0356,Thursday,Thursday,Detail
EM0119,WW0357,Sunday,Wednesday,Detail
EM0120,WW0358,Monday,Monday,Detail
EM0120,WW0359,Wednesday,Sunday,Detail
EM0120,WW0360,Friday,Monday,Detail
EM0121,WW0361,Sunday,Friday,Detail
EM0121,WW0362,Friday,Sunday,Detail
EM0121,WW0363,Wednesday,Wednesday,Detail
EM0122,WW0364,Friday,Thursday,Detail
EM0122,WW0365,Friday,Thursday,Detail
EM0122,WW0366,Monday,Tuesday,Detail
EM0123,WW0367,Friday,Wednesday,Detail
EM0123,WW0368,Sunday,Tuesday,Detail
EM0123,WW0369,Friday,Wednesday,Detail
EM0124,WW0370,Monday,Thursday,Detail
EM0124,WW0371,Friday,Friday,Detail
EM0124,WW0372,Tuesday,Wednesday,Detail
EM0125,WW0373,Saturday,Monday,Detail
EM0125,WW0374,Wednesday,Thursday,Detail
EM0125,WW0375,Wednesday,Tuesday,Detail
EM0126,WW0376,Wednesday,Friday,Detail
EM0126,WW0377,Thursday,Monday,Detail
EM0126,WW0378,Friday,Thursday,Detail
EM0127,WW0379,Saturday,Wednesday,Detail
EM0127,WW0380,Thursday,Sunday,Detail
EM0127,WW0381,Friday,Monday,Detail
EM0128,WW0382,Sunday,Friday,Detail
EM0128,WW0383,Wednesday,Saturday,Detail
EM0128,WW0384,Friday,Saturday,Detail
EM0129,WW0385,Monday,Tuesday,Detail
EM0129,WW0386,Thursday,Thursday,Detail
EM0129,WW0387,Thursday,Friday,Detail
EM0130,WW0388,Wednesday,Wednesday,Detail
EM0130,WW0389,Thursday,Thursday,Detail
EM0130,WW0390,Sunday,Wednesday,Detail
EM0131,WW0391,Monday,Wednesday,Detail
EM0131,WW0392,Sunday,Friday,Detail
EM0131,WW0393,Monday,Tuesday,Detail
EM0132,WW0394,Monday,Wednesday,Detail
EM0132,WW0395,Tuesday,Tuesday,Detail
EM0132,WW0396,Tuesday,Tuesday,Detail
EM0133,WW0397,Friday,Thursday,Detail
EM0133,WW0398,Tuesday,Saturday,Detail
EM0133,WW0399,Tuesday,Monday,Detail
EM0134,WW0400,Monday,Friday,Detail
EM0134,WW0401,Wednesday,Monday,Detail
EM0134,WW0402,Thursday,Saturday,Detail
EM0135,WW0403,Tuesday,Tuesday,Detail
EM0135,WW0404,Monday,Tuesday,Detail
EM0135,WW0405,Wednesday,Saturday,Detail
EM0136,WW0406,Saturday,Wednesday,Detail
EM0136,WW0407,Tuesday,Tuesday,Detail
EM0136,WW0408,Wednesday,Saturday,Detail
EM0137,WW0409,Friday,Tuesday,Detail
EM0137,WW0410,Friday,Thursday,Detail
EM0137,WW0411,Thursday,Tuesday,Detail
EM0138,WW0412,Thursday,Friday,Detail
EM0138,WW0413,Friday,Thursday,Detail
EM0138,WW0414,Sunday,Sunday,Detail
EM0139,WW0415,Sunday,Tuesday,Detail
EM0139,WW0416,Friday,Saturday,Detail
EM0139,WW0417,Saturday,Thursday,Detail
EM0140,WW0418,Monday,Tuesday,Detail
EM0140,WW0419,Monday,Thursday,Detail
EM0140,WW0420,Monday,Thursday,Detail
EM0141,WW0421,Monday,Thursday,Detail
EM0141,WW0422,Thursday,Sunday,Detail
EM0141,WW0423,Tuesday,Friday,Detail
EM0142,WW0424,Saturday,Wednesday,Detail
EM0142,WW0425,Thursday,Monday,Detail
EM0142,WW0426,Tuesday,Friday,Detail
EM0143,WW0427,Saturday,Sunday,Detail
EM0143,WW0428,Tuesday,Friday,Detail
EM0143,WW0429,Wednesday,Monday,Detail
EM0144,WW0430,Tuesday,Wednesday,Detail
EM0144,WW0431,Friday,Friday,Detail
EM0144,WW0432,Friday,Monday,Detail
EM0145,WW0433,Friday,Friday,Detail
EM0145,WW0434,Friday,Thursday,Detail
EM0145,WW0435,Saturday,Sunday,Detail
EM0146,WW0436,Tuesday,Sunday,Detail
EM0146,WW0437,Friday,Friday,Detail
EM0146,WW0438,Thursday,Friday,Detail
EM0147,WW0439,Tuesday,Saturday,Detail
EM0147,WW0440,Sunday,Sunday,Detail
EM0147,WW0441,Wednesday,Wednesday,Detail
EM0148,WW0442,Monday,Wednesday,Detail
EM0148,WW0443,Monday,Friday,Detail
EM0148,WW0444,Thursday,Sunday,Detail
EM0149,WW0445,Monday,Monday,Detail
EM0149,WW0446,Friday,Friday,Detail
EM0149,WW0447,Wednesday,Tuesday,Detail
EM0150,WW0448,Friday,Friday,Detail
EM0150,WW0449,Monday,Monday,Detail
EM0150,WW0450,Tuesday,Friday,Detail
EM0151,WW0451,Thursday,Tuesday,Detail
EM0151,WW0452,Tuesday,Tuesday,Detail
EM0151,WW0453,Saturday,Monday,Detail
EM0152,WW0454,Wednesday,Friday,Detail
EM0152,WW0455,Thursday,Friday,Detail
EM0152,WW0456,Tuesday,Tuesday,Detail
EM0153,WW0457,Monday,Saturday,Detail
EM0153,WW0458,Friday,Sunday,Detail
EM0153,WW0459,Friday,Saturday,Detail
EM0154,WW0460,Tuesday,Thursday,Detail
EM0154,WW0461,Saturday,Sunday,Detail
EM0154,WW0462,Thursday,Wednesday,Detail
EM0155,WW0463,Saturday,Sunday,Detail
EM0155,WW0464,Tuesday,Wednesday,Detail
EM0155,WW0465,Friday,Monday,Detail
EM0156,WW0466,Friday,Monday,Detail
EM0156,WW0467,Friday,Tuesday,Detail
EM0156,WW0468,Wednesday,Thursday,Detail
EM0157,WW0469,Thursday,Friday,Detail
EM0157,WW0470,Sunday,Saturday,Detail
EM0157,WW0471,Friday,Friday,Detail
EM0158,WW0472,Thursday,Thursday,Detail
EM0158,WW0473,Saturday,Sunday,Detail
EM0158,WW0474,Monday,Saturday,Detail
EM0159,WW0475,Sunday,Tuesday,Detail
EM0159,WW0476,Saturday,Wednesday,Detail
EM0159,WW0477,Friday,Sunday,Detail
EM0160,WW0478,Thursday,Monday,Detail
EM0160,WW0479,Friday,Saturday,Detail
EM0160,WW0480,Friday,Saturday,Detail
EM0161,WW0481,Monday,Monday,Detail
EM0161,WW0482,Friday,Wednesday,Detail
EM0161,WW0483,Sunday,Saturday,Detail
EM0162,WW0484,Monday,Wednesday,Detail
EM0162,WW0485,Wednesday,Thursday,Detail
EM0162,WW0486,Saturday,Friday,Detail
EM0163,WW0487,Tuesday,Monday,Detail
EM0163,WW0488,Thursday,Wednesday,Detail
EM0163,WW0489,Saturday,Saturday,Detail
EM0164,WW0490,Wednesday,Sunday,Detail
EM0164,WW0491,Monday,Wednesday,Detail
EM0164,WW0492,Thursday,Friday,Detail
EM0165,WW0493,Thursday,Saturday,Detail
EM0165,WW0494,Wednesday,Tuesday,Detail
EM0165,WW0495,Saturday,Friday,Detail
EM0166,WW0496,Sunday,Saturday,Detail
EM0166,WW0497,Monday,Thursday,Detail
EM0166,WW0498,Friday,Friday,Detail
EM0167,WW0499,Saturday,Thursday,Detail
EM0167,WW0500,Monday,Saturday,Detail
EM0167,WW0501,Wednesday,Tuesday,Detail
EM0168,WW0502,Tuesday,Monday,Detail
EM0168,WW0503,Thursday,Thursday,Detail
EM0168,WW0504,Monday,Friday,Detail
EM0169,WW0505,Sunday,Thursday,Detail
EM0169,WW0506,Saturday,Saturday,Detail
EM0169,WW0507,Wednesday,Saturday,Detail
EM0170,WW0508,Monday,Thursday,Detail
EM0170,WW0509,Wednesday,Tuesday,Detail
EM0170,WW0510,Saturday,Thursday,Detail
EM0171,WW0511,Saturday,Wednesday,Detail
EM0171,WW0512,Wednesday,Thursday,Detail
EM0171,WW0513,Monday,Friday,Detail
EM0172,WW0514,Friday,Monday,Detail
EM0172,WW0515,Saturday,Tuesday,Detail
EM0172,WW0516,Wednesday,Sunday,Detail
EM0173,WW0517,Friday,Tuesday,Detail
EM0173,WW0518,Friday,Saturday,Detail
EM0173,WW0519,Tuesday,Thursday,Detail
EM0174,WW0520,Thursday,Saturday,Detail
EM0174,WW0521,Saturday,Wednesday,Detail
EM0174,WW0522,Wednesday,Saturday,Detail
EM0175,WW0523,Tuesday,Sunday,Detail
EM0175,WW0524,Sunday,Monday,Detail
EM0175,WW0525,Sunday,Friday,Detail
EM0176,WW0526,Thursday,Friday,Detail
EM0176,WW0527,Saturday,Wednesday,Detail
EM0176,WW0528,Friday,Saturday,Detail
EM0177,WW0529,Sunday,Sunday,Detail
EM0177,WW0530,Wednesday,Tuesday,Detail
EM0177,WW0531,Friday,Saturday,Detail
EM0178,WW0532,Monday,Tuesday,Detail
EM0178,WW0533,Sunday,Sunday,Detail
EM0178,WW0534,Monday,Wednesday,Detail
EM0179,WW0535,Tuesday,Friday,Detail
EM0179,WW0536,Monday,Monday,Detail
EM0179,WW0537,Sunday,Sunday,Detail
EM0180,WW0538,Tuesday,Friday,Detail
EM0180,WW0539,Tuesday,Monday,Detail
EM0180,WW0540,Thursday,Tuesday,Detail
EM0181,WW0541,Saturday,Thursday,Detail
EM0181,WW0542,Thursday,Friday,Detail
EM0181,WW0543,Sunday,Thursday,Detail
EM0182,WW0544,Thursday,Tuesday,Detail
EM0182,WW0545,Wednesday,Sunday,Detail
EM0182,WW0546,Monday,Sunday,Detail
EM0183,WW0547,Monday,Monday,Detail
EM0183,WW0548,Saturday,Friday,Detail
EM0183,WW0549,Monday,Friday,Detail
EM0184,WW0550,Sunday,Thursday,Detail
EM0184,WW0551,Wednesday,Tuesday,Detail
EM0184,WW0552,Friday,Friday,Detail
EM0185,WW0553,Friday,Sunday,Detail
EM0185,WW0554,Sunday,Saturday,Detail
EM0185,WW0555,Monday,Friday,Detail
EM0186,WW0556,Thursday,Saturday,Detail
EM0186,WW0557,Friday,Thursday,Detail
EM0186,WW0558,Wednesday,Saturday,Detail
EM0187,WW0559,Sunday,Thursday,Detail
EM0187,WW0560,Saturday,Saturday,Detail
EM0187,WW0561,Wednesday,Tuesday,Detail
EM0188,WW0562,Tuesday,Friday,Detail
EM0188,WW0563,Thursday,Sunday,Detail
EM0188,WW0564,Thursday,Saturday,Detail
EM0189,WW0565,Sunday,Monday,Detail
EM0189,WW0566,Sunday,Tuesday,Detail
EM0189,WW0567,Saturday,Wednesday,Detail
EM0190,WW0568,Sunday,Friday,Detail
EM0190,WW0569,Monday,Wednesday,Detail
EM0190,WW0570,Saturday,Saturday,Detail
EM0191,WW0571,Saturday,Friday,Detail
EM0191,WW0572,Sunday,Monday,Detail
EM0191,WW0573,Sunday,Tuesday,Detail
EM0192,WW0574,Thursday,Wednesday,Detail
