Work_Schedule_Id,Day_Name,Start_Date_Time,End_Date_Time,Other_Details


,
,,
,,,
,,,,
Test,,,,
Test,Test,,,
Test,Test,Test,,
Test,Test,Test,Test,
Test,Test,Test,Test,Test
Dup,Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup,Dup
WW0022,Thursday,Saturday,2020-01-01 8:21:37,2020-01-01 14:34:31,Detail
WW0023,Wednesday,Tuesday,2020-01-01 16:2:10,2020-01-01 22:53:21,Detail
WW0024,Thursday,Sunday,2020-01-01 23:47:58,2020-01-01 6:43:32,Detail
WW0025,Friday,Tuesday,2020-01-01 0:0:1,2020-01-01 8:26:46,Detail
WW0026,Monday,Monday,2020-01-01 14:35:32,2020-01-01 16:45:36,Detail
WW0027,Monday,Monday,2020-01-01 22:15:10,2020-01-01 23:20:56,Detail
WW0028,Friday,Monday,2020-01-01 6:53:13,2020-01-01 0:0:41,Detail
WW0029,Friday,Thursday,2020-01-01 8:41:13,2020-01-01 14:46:44,Detail
WW0030,Saturday,Sunday,2020-01-01 15:39:40,2020-01-01 22:8:37,Detail
WW0031,Tuesday,Monday,2020-01-01 23:55:40,2020-01-01 6:16:25,Detail
WW0032,Friday,Saturday,2020-01-01 0:0:20,2020-01-01 7:29:18,Detail
WW0033,Sunday,Monday,2020-01-01 14:29:30,2020-01-01 16:14:36,Detail
WW0034,Wednesday,Friday,2020-01-01 22:54:0,2020-01-01 23:55:0,Detail
WW0035,Monday,Tuesday,2020-01-01 6:56:19,2020-01-01 0:0:1,Detail
WW0036,Tuesday,Sunday,2020-01-01 8:45:19,2020-01-01 14:24:58,Detail
WW0037,Saturday,Sunday,2020-01-01 16:8:59,2020-01-01 22:25:51,Detail
WW0038,Friday,Monday,2020-01-01 23:24:24,2020-01-01 6:37:50,Detail
WW0039,Friday,Saturday,2020-01-01 0:0:1,2020-01-01 7:38:54,Detail
WW0040,Thursday,Friday,2020-01-01 14:46:1,2020-01-01 16:53:25,Detail
WW0041,Wednesday,Wednesday,2020-01-01 22:49:47,2020-01-01 23:55:3,Detail
WW0042,Saturday,Monday,2020-01-01 6:33:36,2020-01-01 0:0:29,Detail
WW0043,Sunday,Wednesday,2020-01-01 8:58:38,2020-01-01 14:6:13,Detail
WW0044,Sunday,Sunday,2020-01-01 16:18:58,2020-01-01 22:57:4,Detail
WW0045,Tuesday,Thursday,2020-01-01 23:24:59,2020-01-01 6:52:58,Detail
WW0046,Wednesday,Thursday,2020-01-01 0:0:55,2020-01-01 7:37:55,Detail
WW0047,Thursday,Sunday,2020-01-01 14:55:50,2020-01-01 15:9:17,Detail
WW0048,Wednesday,Saturday,2020-01-01 22:26:42,2020-01-01 23:10:39,Detail
WW0049,Sunday,Sunday,2020-01-01 6:2:33,2020-01-01 0:0:20,Detail
WW0050,Tuesday,Tuesday,2020-01-01 7:48:25,2020-01-01 14:9:58,Detail
WW0051,Sunday,Wednesday,2020-01-01 15:56:35,2020-01-01 22:14:37,Detail
WW0052,Saturday,Monday,2020-01-01 23:3:47,2020-01-01 6:48:11,Detail
WW0053,Sunday,Saturday,2020-01-01 0:0:33,2020-01-01 8:3:53,Detail
WW0054,Thursday,Thursday,2020-01-01 14:2:47,2020-01-01 16:28:53,Detail
WW0055,Saturday,Thursday,2020-01-01 22:54:12,2020-01-01 23:41:29,Detail
WW0056,Thursday,Tuesday,2020-01-01 6:26:41,2020-01-01 0:0:9,Detail
WW0057,Friday,Thursday,2020-01-01 7:57:50,2020-01-01 14:47:34,Detail
WW0058,Thursday,Sunday,2020-01-01 16:26:34,2020-01-01 22:42:39,Detail
WW0059,Saturday,Monday,2020-01-01 23:29:33,2020-01-01 6:20:35,Detail
WW0060,Saturday,Friday,2020-01-01 0:0:11,2020-01-01 8:21:43,Detail
WW0061,Wednesday,Saturday,2020-01-01 14:9:43,2020-01-01 15:28:42,Detail
WW0062,Wednesday,Saturday,2020-01-01 22:25:7,2020-01-01 23:11:28,Detail
WW0063,Sunday,Wednesday,2020-01-01 6:36:55,2020-01-01 0:0:8,Detail
WW0064,Friday,Thursday,2020-01-01 7:12:18,2020-01-01 14:47:32,Detail
WW0065,Monday,Tuesday,2020-01-01 15:40:43,2020-01-01 22:23:13,Detail
WW0066,Thursday,Thursday,2020-01-01 23:36:54,2020-01-01 6:28:26,Detail
WW0067,Sunday,Friday,2020-01-01 0:0:53,2020-01-01 8:48:50,Detail
WW0068,Tuesday,Saturday,2020-01-01 14:40:1,2020-01-01 15:48:13,Detail
WW0069,Sunday,Tuesday,2020-01-01 22:12:12,2020-01-01 23:56:55,Detail
WW0070,Sunday,Saturday,2020-01-01 6:34:58,2020-01-01 0:0:15,Detail
WW0071,Friday,Sunday,2020-01-01 8:3:54,2020-01-01 14:39:52,Detail
WW0072,Monday,Thursday,2020-01-01 16:57:35,2020-01-01 22:27:14,Detail
WW0073,Saturday,Thursday,2020-01-01 23:14:7,2020-01-01 6:41:22,Detail
WW0074,Monday,Thursday,2020-01-01 0:0:29,2020-01-01 7:2:54,Detail
WW0075,Tuesday,Wednesday,2020-01-01 14:5:54,2020-01-01 15:34:18,Detail
WW0076,Monday,Sunday,2020-01-01 22:20:1,2020-01-01 23:50:41,Detail
WW0077,Wednesday,Wednesday,2020-01-01 6:1:17,2020-01-01 0:0:53,Detail
WW0078,Sunday,Wednesday,2020-01-01 7:7:9,2020-01-01 14:15:5,Detail
WW0079,Thursday,Monday,2020-01-01 15:20:25,2020-01-01 22:43:57,Detail
WW0080,Thursday,Sunday,2020-01-01 23:28:29,2020-01-01 6:8:7,Detail
WW0081,Sunday,Saturday,2020-01-01 0:0:57,2020-01-01 7:48:6,Detail
WW0082,Wednesday,Friday,2020-01-01 14:5:8,2020-01-01 16:59:8,Detail
WW0083,Saturday,Saturday,2020-01-01 22:44:6,2020-01-01 23:57:46,Detail
WW0084,Friday,Tuesday,2020-01-01 6:59:47,2020-01-01 0:0:5,Detail
WW0085,Tuesday,Wednesday,2020-01-01 7:36:57,2020-01-01 14:57:12,Detail
WW0086,Wednesday,Tuesday,2020-01-01 15:22:20,2020-01-01 22:55:47,Detail
WW0087,Monday,Saturday,2020-01-01 23:6:54,2020-01-01 6:23:20,Detail
WW0088,Thursday,Monday,2020-01-01 0:0:54,2020-01-01 7:53:48,Detail
WW0089,Monday,Friday,2020-01-01 14:16:52,2020-01-01 16:17:3,Detail
WW0090,Thursday,Monday,2020-01-01 22:0:32,2020-01-01 23:13:11,Detail
WW0091,Wednesday,Sunday,2020-01-01 6:49:10,2020-01-01 0:0:51,Detail
WW0092,Wednesday,Wednesday,2020-01-01 8:2:7,2020-01-01 14:24:13,Detail
WW0093,Friday,Tuesday,2020-01-01 16:12:14,2020-01-01 22:45:35,Detail
WW0094,Thursday,Sunday,2020-01-01 23:14:21,2020-01-01 6:46:33,Detail
WW0095,Thursday,Sunday,2020-01-01 0:0:38,2020-01-01 7:46:4,Detail
WW0096,Tuesday,Monday,2020-01-01 14:45:35,2020-01-01 16:14:32,Detail
WW0097,Friday,Thursday,2020-01-01 22:9:23,2020-01-01 23:16:40,Detail
WW0098,Saturday,Tuesday,2020-01-01 6:44:36,2020-01-01 0:0:58,Detail
WW0099,Thursday,Wednesday,2020-01-01 8:55:9,2020-01-01 14:42:5,Detail
WW0100,Saturday,Tuesday,2020-01-01 16:32:56,2020-01-01 22:14:59,Detail
WW0101,Tuesday,Saturday,2020-01-01 23:29:17,2020-01-01 6:3:22,Detail
WW0102,Tuesday,Tuesday,2020-01-01 0:0:51,2020-01-01 8:0:51,Detail
WW0103,Saturday,Sunday,2020-01-01 14:49:59,2020-01-01 15:4:27,Detail
WW0104,Thursday,Tuesday,2020-01-01 22:24:26,2020-01-01 23:6:7,Detail
WW0105,Tuesday,Saturday,2020-01-01 6:39:38,2020-01-01 0:0:8,Detail
WW0106,Wednesday,Wednesday,2020-01-01 7:17:41,2020-01-01 14:13:56,Detail
WW0107,Sunday,Wednesday,2020-01-01 16:56:33,2020-01-01 22:21:13,Detail
WW0108,Friday,Tuesday,2020-01-01 23:21:33,2020-01-01 6:44:1,Detail
WW0109,Friday,Sunday,2020-01-01 0:0:34,2020-01-01 7:17:14,Detail
WW0110,Wednesday,Friday,2020-01-01 14:48:43,2020-01-01 15:15:59,Detail
WW0111,Wednesday,Thursday,2020-01-01 22:37:31,2020-01-01 23:13:16,Detail
WW0112,Thursday,Friday,2020-01-01 6:42:40,2020-01-01 0:0:44,Detail
WW0113,Friday,Wednesday,2020-01-01 7:24:30,2020-01-01 14:38:26,Detail
WW0114,Sunday,Sunday,2020-01-01 15:38:34,2020-01-01 22:50:49,Detail
WW0115,Sunday,Saturday,2020-01-01 23:17:35,2020-01-01 6:9:55,Detail
WW0116,Saturday,Saturday,2020-01-01 0:0:27,2020-01-01 8:48:21,Detail
WW0117,Tuesday,Friday,2020-01-01 14:46:37,2020-01-01 16:54:39,Detail
WW0118,Friday,Monday,2020-01-01 22:44:58,2020-01-01 23:53:13,Detail
WW0119,Tuesday,Friday,2020-01-01 6:32:13,2020-01-01 0:0:51,Detail
WW0120,Thursday,Sunday,2020-01-01 8:12:33,2020-01-01 14:15:14,Detail
WW0121,Tuesday,Monday,2020-01-01 15:44:2,2020-01-01 22:8:4,Detail
WW0122,Wednesday,Wednesday,2020-01-01 23:50:40,2020-01-01 6:39:14,Detail
WW0123,Wednesday,Monday,2020-01-01 0:0:37,2020-01-01 7:5:47,Detail
WW0124,Friday,Friday,2020-01-01 14:57:9,2020-01-01 15:58:37,Detail
WW0125,Saturday,Friday,2020-01-01 22:42:59,2020-01-01 23:17:54,Detail
WW0126,Thursday,Wednesday,2020-01-01 6:14:24,2020-01-01 0:0:16,Detail
WW0127,Thursday,Friday,2020-01-01 7:27:5,2020-01-01 14:26:24,Detail
WW0128,Friday,Friday,2020-01-01 16:1:50,2020-01-01 22:3:53,Detail
WW0129,Saturday,Wednesday,2020-01-01 23:5:39,2020-01-01 6:30:38,Detail
WW0130,Wednesday,Wednesday,2020-01-01 0:0:37,2020-01-01 8:6:18,Detail
WW0131,Saturday,Saturday,2020-01-01 14:10:49,2020-01-01 16:50:19,Detail
WW0132,Friday,Tuesday,2020-01-01 22:24:58,2020-01-01 23:4:57,Detail
WW0133,Wednesday,Saturday,2020-01-01 6:26:8,2020-01-01 0:0:39,Detail
WW0134,Thursday,Sunday,2020-01-01 7:3:32,2020-01-01 14:10:14,Detail
WW0135,Wednesday,Tuesday,2020-01-01 16:59:54,2020-01-01 22:51:40,Detail
WW0136,Wednesday,Friday,2020-01-01 23:48:51,2020-01-01 6:44:50,Detail
WW0137,Wednesday,Friday,2020-01-01 0:0:46,2020-01-01 7:44:47,Detail
WW0138,Friday,Thursday,2020-01-01 14:42:28,2020-01-01 16:25:1,Detail
WW0139,Tuesday,Thursday,2020-01-01 22:54:59,2020-01-01 23:14:36,Detail
WW0140,Monday,Wednesday,2020-01-01 6:32:36,2020-01-01 0:0:38,Detail
WW0141,Saturday,Friday,2020-01-01 7:9:28,2020-01-01 14:24:38,Detail
WW0142,Saturday,Monday,2020-01-01 15:16:11,2020-01-01 22:23:3,Detail
WW0143,Thursday,Saturday,2020-01-01 23:4:15,2020-01-01 6:24:32,Detail
WW0144,Wednesday,Friday,2020-01-01 0:0:47,2020-01-01 7:35:3,Detail
WW0145,Thursday,Monday,2020-01-01 14:19:23,2020-01-01 15:2:35,Detail
WW0146,Monday,Wednesday,2020-01-01 22:18:51,2020-01-01 23:44:39,Detail
WW0147,Saturday,Wednesday,2020-01-01 6:25:6,2020-01-01 0:0:23,Detail
WW0148,Saturday,Saturday,2020-01-01 7:38:24,2020-01-01 14:5:13,Detail
WW0149,Friday,Friday,2020-01-01 15:14:9,2020-01-01 22:38:17,Detail
WW0150,Wednesday,Sunday,2020-01-01 23:28:18,2020-01-01 6:37:4,Detail
WW0151,Wednesday,Saturday,2020-01-01 0:0:23,2020-01-01 7:57:55,Detail
WW0152,Friday,Tuesday,2020-01-01 14:5:56,2020-01-01 16:54:36,Detail
WW0153,Thursday,Saturday,2020-01-01 22:57:50,2020-01-01 23:58:31,Detail
WW0154,Saturday,Sunday,2020-01-01 6:55:44,2020-01-01 0:0:18,Detail
WW0155,Tuesday,Saturday,2020-01-01 8:35:17,2020-01-01 14:14:59,Detail
WW0156,Tuesday,Sunday,2020-01-01 15:40:0,2020-01-01 22:51:7,Detail
WW0157,Thursday,Friday,2020-01-01 23:29:3,2020-01-01 6:18:36,Detail
WW0158,Thursday,Thursday,2020-01-01 0:0:8,2020-01-01 8:50:50,Detail
WW0159,Tuesday,Monday,2020-01-01 14:27:34,2020-01-01 15:11:53,Detail
WW0160,Thursday,Wednesday,2020-01-01 22:7:25,2020-01-01 23:34:18,Detail
WW0161,Thursday,Saturday,2020-01-01 6:31:57,2020-01-01 0:0:0,Detail
WW0162,Saturday,Monday,2020-01-01 8:18:59,2020-01-01 14:12:7,Detail
WW0163,Monday,Monday,2020-01-01 15:3:1,2020-01-01 22:6:15,Detail
WW0164,Monday,Friday,2020-01-01 23:26:51,2020-01-01 6:42:44,Detail
WW0165,Wednesday,Thursday,2020-01-01 0:0:42,2020-01-01 7:45:22,Detail
WW0166,Sunday,Thursday,2020-01-01 14:7:43,2020-01-01 16:6:19,Detail
WW0167,Tuesday,Thursday,2020-01-01 22:18:53,2020-01-01 23:39:34,Detail
WW0168,Monday,Thursday,2020-01-01 6:57:17,2020-01-01 0:0:58,Detail
WW0169,Monday,Thursday,2020-01-01 7:49:2,2020-01-01 14:30:11,Detail
WW0170,Wednesday,Wednesday,2020-01-01 15:2:19,2020-01-01 22:57:53,Detail
WW0171,Tuesday,Saturday,2020-01-01 23:9:44,2020-01-01 6:40:36,Detail
WW0172,Thursday,Tuesday,2020-01-01 0:0:10,2020-01-01 8:56:22,Detail
WW0173,Monday,Tuesday,2020-01-01 14:14:27,2020-01-01 16:1:35,Detail
WW0174,Sunday,Thursday,2020-01-01 22:7:57,2020-01-01 23:46:19,Detail
WW0175,Friday,Friday,2020-01-01 6:10:21,2020-01-01 0:0:6,Detail
WW0176,Monday,Monday,2020-01-01 7:44:15,2020-01-01 14:28:51,Detail
WW0177,Friday,Wednesday,2020-01-01 15:8:45,2020-01-01 22:52:2,Detail
WW0178,Monday,Friday,2020-01-01 23:37:12,2020-01-01 6:40:20,Detail
WW0179,Thursday,Wednesday,2020-01-01 0:0:20,2020-01-01 7:26:15,Detail
WW0180,Friday,Wednesday,2020-01-01 14:10:6,2020-01-01 16:47:45,Detail
WW0181,Wednesday,Sunday,2020-01-01 22:39:32,2020-01-01 23:11:5,Detail
WW0182,Saturday,Wednesday,2020-01-01 6:49:59,2020-01-01 0:0:48,Detail
WW0183,Thursday,Saturday,2020-01-01 7:56:9,2020-01-01 14:4:42,Detail
WW0184,Tuesday,Saturday,2020-01-01 16:14:18,2020-01-01 22:29:15,Detail
WW0185,Sunday,Saturday,2020-01-01 23:12:24,2020-01-01 6:36:39,Detail
WW0186,Thursday,Friday,2020-01-01 0:0:38,2020-01-01 8:48:18,Detail
WW0187,Tuesday,Friday,2020-01-01 14:11:46,2020-01-01 16:21:20,Detail
WW0188,Monday,Friday,2020-01-01 22:59:22,2020-01-01 23:35:42,Detail
WW0189,Sunday,Sunday,2020-01-01 6:41:40,2020-01-01 0:0:54,Detail
WW0190,Wednesday,Friday,2020-01-01 8:26:31,2020-01-01 14:0:37,Detail
WW0191,Thursday,Friday,2020-01-01 15:39:24,2020-01-01 22:38:3,Detail
WW0192,Thursday,Sunday,2020-01-01 23:36:8,2020-01-01 6:4:35,Detail
WW0193,Friday,Friday,2020-01-01 0:0:18,2020-01-01 7:37:35,Detail
WW0194,Wednesday,Tuesday,2020-01-01 14:12:53,2020-01-01 16:11:5,Detail
WW0195,Tuesday,Tuesday,2020-01-01 22:0:6,2020-01-01 23:43:34,Detail
WW0196,Saturday,Saturday,2020-01-01 6:1:26,2020-01-01 0:0:14,Detail
WW0197,Monday,Monday,2020-01-01 8:33:27,2020-01-01 14:27:45,Detail
WW0198,Friday,Wednesday,2020-01-01 15:54:6,2020-01-01 22:19:27,Detail
WW0199,Friday,Tuesday,2020-01-01 23:16:59,2020-01-01 6:39:27,Detail
WW0200,Monday,Saturday,2020-01-01 0:0:0,2020-01-01 8:18:18,Detail
WW0201,Wednesday,Monday,2020-01-01 14:0:58,2020-01-01 15:23:27,Detail
WW0202,Wednesday,Tuesday,2020-01-01 22:44:51,2020-01-01 23:47:56,Detail
WW0203,Friday,Thursday,2020-01-01 6:50:29,2020-01-01 0:0:2,Detail
WW0204,Saturday,Friday,2020-01-01 8:33:37,2020-01-01 14:40:22,Detail
WW0205,Sunday,Tuesday,2020-01-01 15:1:43,2020-01-01 22:5:38,Detail
WW0206,Saturday,Friday,2020-01-01 23:35:37,2020-01-01 6:56:54,Detail
WW0207,Friday,Friday,2020-01-01 0:0:18,2020-01-01 8:43:51,Detail
WW0208,Wednesday,Wednesday,2020-01-01 14:31:25,2020-01-01 15:31:25,Detail
WW0209,Saturday,Friday,2020-01-01 22:14:14,2020-01-01 23:36:57,Detail
WW0210,Saturday,Friday,2020-01-01 6:31:37,2020-01-01 0:0:2,Detail
WW0211,Thursday,Wednesday,2020-01-01 7:49:33,2020-01-01 14:55:19,Detail
WW0212,Tuesday,Thursday,2020-01-01 15:31:41,2020-01-01 22:7:47,Detail
WW0213,Tuesday,Tuesday,2020-01-01 23:55:58,2020-01-01 6:13:30,Detail
WW0214,Thursday,Wednesday,2020-01-01 0:0:37,2020-01-01 8:49:31,Detail
WW0215,Wednesday,Saturday,2020-01-01 14:22:1,2020-01-01 16:6:8,Detail
WW0216,Monday,Friday,2020-01-01 22:0:58,2020-01-01 23:11:26,Detail
WW0217,Thursday,Friday,2020-01-01 6:17:22,2020-01-01 0:0:51,Detail
WW0218,Thursday,Wednesday,2020-01-01 7:27:10,2020-01-01 14:55:6,Detail
WW0219,Monday,Wednesday,2020-01-01 16:27:53,2020-01-01 22:42:56,Detail
WW0220,Tuesday,Saturday,2020-01-01 23:41:26,2020-01-01 6:52:18,Detail
WW0221,Saturday,Saturday,2020-01-01 0:0:6,2020-01-01 7:6:37,Detail
WW0222,Tuesday,Monday,2020-01-01 14:11:57,2020-01-01 15:15:47,Detail
WW0223,Monday,Sunday,2020-01-01 22:47:47,2020-01-01 23:1:0,Detail
WW0224,Sunday,Monday,2020-01-01 6:32:12,2020-01-01 0:0:47,Detail
WW0225,Wednesday,Saturday,2020-01-01 7:46:1,2020-01-01 14:15:50,Detail
WW0226,Thursday,Thursday,2020-01-01 16:21:59,2020-01-01 22:11:3,Detail
WW0227,Saturday,Thursday,2020-01-01 23:27:47,2020-01-01 6:0:53,Detail
WW0228,Monday,Wednesday,2020-01-01 0:0:23,2020-01-01 8:47:28,Detail
WW0229,Thursday,Friday,2020-01-01 14:8:57,2020-01-01 15:41:15,Detail
WW0230,Thursday,Wednesday,2020-01-01 22:29:19,2020-01-01 23:4:44,Detail
WW0231,Sunday,Thursday,2020-01-01 6:12:14,2020-01-01 0:0:24,Detail
WW0232,Saturday,Wednesday,2020-01-01 8:21:55,2020-01-01 14:24:12,Detail
WW0233,Thursday,Friday,2020-01-01 16:21:37,2020-01-01 22:28:6,Detail
WW0234,Wednesday,Monday,2020-01-01 23:43:23,2020-01-01 6:9:26,Detail
WW0235,Sunday,Monday,2020-01-01 0:0:8,2020-01-01 8:49:7,Detail
WW0236,Friday,Friday,2020-01-01 14:52:6,2020-01-01 16:29:25,Detail
WW0237,Sunday,Wednesday,2020-01-01 22:27:52,2020-01-01 23:25:43,Detail
WW0238,Friday,Wednesday,2020-01-01 6:0:39,2020-01-01 0:0:10,Detail
WW0239,Saturday,Tuesday,2020-01-01 8:27:21,2020-01-01 14:9:13,Detail
WW0240,Monday,Saturday,2020-01-01 15:56:56,2020-01-01 22:51:55,Detail
WW0241,Saturday,Monday,2020-01-01 23:23:28,2020-01-01 6:49:14,Detail
WW0242,Wednesday,Sunday,2020-01-01 0:0:40,2020-01-01 7:22:46,Detail
WW0243,Monday,Monday,2020-01-01 14:6:50,2020-01-01 16:56:54,Detail
WW0244,Saturday,Wednesday,2020-01-01 22:47:16,2020-01-01 23:37:15,Detail
WW0245,Thursday,Tuesday,2020-01-01 6:53:12,2020-01-01 0:0:9,Detail
WW0246,Monday,Thursday,2020-01-01 7:56:4,2020-01-01 14:40:28,Detail
WW0247,Thursday,Thursday,2020-01-01 15:17:27,2020-01-01 22:52:51,Detail
WW0248,Sunday,Thursday,2020-01-01 23:27:52,2020-01-01 6:17:4,Detail
WW0249,Wednesday,Wednesday,2020-01-01 0:0:7,2020-01-01 8:26:7,Detail
WW0250,Monday,Wednesday,2020-01-01 14:36:30,2020-01-01 15:17:37,Detail
WW0251,Monday,Sunday,2020-01-01 22:14:38,2020-01-01 23:26:6,Detail
WW0252,Tuesday,Wednesday,2020-01-01 6:43:50,2020-01-01 0:0:5,Detail
WW0253,Thursday,Wednesday,2020-01-01 8:52:8,2020-01-01 14:57:56,Detail
WW0254,Tuesday,Thursday,2020-01-01 15:33:27,2020-01-01 22:6:33,Detail
WW0255,Friday,Monday,2020-01-01 23:4:2,2020-01-01 6:43:1,Detail
WW0256,Monday,Thursday,2020-01-01 0:0:7,2020-01-01 7:27:11,Detail
WW0257,Sunday,Thursday,2020-01-01 14:43:14,2020-01-01 16:47:57,Detail
WW0258,Sunday,Sunday,2020-01-01 22:9:40,2020-01-01 23:31:34,Detail
WW0259,Wednesday,Friday,2020-01-01 6:16:49,2020-01-01 0:0:45,Detail
WW0260,Sunday,Sunday,2020-01-01 8:16:18,2020-01-01 14:30:13,Detail
WW0261,Thursday,Thursday,2020-01-01 16:1:53,2020-01-01 22:42:3,Detail
WW0262,Tuesday,Monday,2020-01-01 23:1:30,2020-01-01 6:55:39,Detail
WW0263,Monday,Monday,2020-01-01 0:0:9,2020-01-01 7:36:0,Detail
WW0264,Tuesday,Friday,2020-01-01 14:55:9,2020-01-01 15:9:11,Detail
WW0265,Wednesday,Sunday,2020-01-01 22:48:8,2020-01-01 23:26:38,Detail
WW0266,Tuesday,Sunday,2020-01-01 6:52:53,2020-01-01 0:0:58,Detail
WW0267,Thursday,Monday,2020-01-01 8:56:18,2020-01-01 14:41:58,Detail
WW0268,Friday,Friday,2020-01-01 16:57:5,2020-01-01 22:21:6,Detail
WW0269,Tuesday,Monday,2020-01-01 23:50:33,2020-01-01 6:8:37,Detail
WW0270,Thursday,Tuesday,2020-01-01 0:0:51,2020-01-01 8:47:5,Detail
WW0271,Monday,Sunday,2020-01-01 14:7:12,2020-01-01 15:37:7,Detail
WW0272,Sunday,Wednesday,2020-01-01 22:52:50,2020-01-01 23:39:56,Detail
WW0273,Thursday,Friday,2020-01-01 6:35:19,2020-01-01 0:0:9,Detail
WW0274,Wednesday,Wednesday,2020-01-01 7:18:12,2020-01-01 14:39:44,Detail
WW0275,Thursday,Monday,2020-01-01 15:43:44,2020-01-01 22:19:45,Detail
WW0276,Friday,Wednesday,2020-01-01 23:5:52,2020-01-01 6:52:11,Detail
WW0277,Tuesday,Friday,2020-01-01 0:0:32,2020-01-01 8:34:1,Detail
WW0278,Thursday,Friday,2020-01-01 14:35:25,2020-01-01 15:9:15,Detail
WW0279,Monday,Thursday,2020-01-01 22:32:47,2020-01-01 23:58:54,Detail
WW0280,Friday,Sunday,2020-01-01 6:21:17,2020-01-01 0:0:13,Detail
WW0281,Sunday,Monday,2020-01-01 8:44:53,2020-01-01 14:0:26,Detail
WW0282,Thursday,Saturday,2020-01-01 15:27:12,2020-01-01 22:13:41,Detail
WW0283,Thursday,Monday,2020-01-01 23:10:37,2020-01-01 6:29:41,Detail
WW0284,Thursday,Thursday,2020-01-01 0:0:20,2020-01-01 8:18:57,Detail
WW0285,Wednesday,Sunday,2020-01-01 14:6:16,2020-01-01 15:0:41,Detail
WW0286,Wednesday,Thursday,2020-01-01 22:42:20,2020-01-01 23:21:5,Detail
WW0287,Sunday,Wednesday,2020-01-01 6:59:58,2020-01-01 0:0:25,Detail
WW0288,Thursday,Friday,2020-01-01 7:6:14,2020-01-01 14:34:27,Detail
WW0289,Thursday,Saturday,2020-01-01 15:51:49,2020-01-01 22:21:10,Detail
WW0290,Friday,Friday,2020-01-01 23:31:37,2020-01-01 6:59:4,Detail
WW0291,Saturday,Saturday,2020-01-01 0:0:0,2020-01-01 8:22:12,Detail
WW0292,Thursday,Sunday,2020-01-01 14:1:44,2020-01-01 16:41:28,Detail
WW0293,Tuesday,Saturday,2020-01-01 22:17:8,2020-01-01 23:19:49,Detail
WW0294,Friday,Tuesday,2020-01-01 6:23:34,2020-01-01 0:0:31,Detail
WW0295,Tuesday,Wednesday,2020-01-01 7:48:7,2020-01-01 14:45:25,Detail
WW0296,Sunday,Wednesday,2020-01-01 16:22:2,2020-01-01 22:22:32,Detail
WW0297,Friday,Saturday,2020-01-01 23:14:47,2020-01-01 6:42:37,Detail
WW0298,Wednesday,Saturday,2020-01-01 0:0:19,2020-01-01 8:46:36,Detail
WW0299,Sunday,Tuesday,2020-01-01 14:56:40,2020-01-01 16:58:42,Detail
WW0300,Wednesday,Saturday,2020-01-01 22:28:38,2020-01-01 23:36:34,Detail
WW0301,Wednesday,Thursday,2020-01-01 6:31:45,2020-01-01 0:0:24,Detail
WW0302,Wednesday,Thursday,2020-01-01 7:35:22,2020-01-01 14:10:34,Detail
WW0303,Sunday,Monday,2020-01-01 16:3:50,2020-01-01 22:6:53,Detail
WW0304,Monday,Thursday,2020-01-01 23:46:22,2020-01-01 6:58:57,Detail
